County,Pct_Children_in_Poverty_a,Pct_Children_in_Poverty_b,Pct_Children_in_Poverty_c,Pct_Excessive_Drinking_a,Pct_Excessive_Drinking_b,Pct_Excessive_Drinking_c,Pct_Smokers_a,Pct_Smokers_b,Pct_Smokers_c,Pct_Unemployed_a,Pct_Unemployed_b,Pct_Unemployed_c,Pct_Uninsured_a,Pct_Uninsured_b,Pct_Uninsured_c,Age-Adjusted_Death_Rate-Drug_Overdoses_a,Age-Adjusted_Death_Rate-Drug_Overdoses_b,Age-Adjusted_Death_Rate-Drug_Overdoses_c,Death_Rate-Drug_Overdoses_a,Death_Rate-Drug_Overdoses_b,Death_Rate-Drug_Overdoses_c,ER_Visit_Rate-All_Other_Unintentional_Injury_a,ER_Visit_Rate-All_Other_Unintentional_Injury_b,ER_Visit_Rate-All_Other_Unintentional_Injury_c,ER_Visit_Rate-Falls_a,ER_Visit_Rate-Falls_b,ER_Visit_Rate-Falls_c,Injury_Death_Rate_a,Injury_Death_Rate_b,Injury_Death_Rate_c,MV_Mortality_Rate_a,MV_Mortality_Rate_b,MV_Mortality_Rate_c,Percent_of_Deaths_by_Cause-All_Opioids_a,Percent_of_Deaths_by_Cause-All_Opioids_b,Percent_of_Deaths_by_Cause-All_Opioids_c,Preventable_Hospitalization_Rate_a,Preventable_Hospitalization_Rate_b,Preventable_Hospitalization_Rate_c,Teen_Birth_Rate_a,Teen_Birth_Rate_b,Teen_Birth_Rate_c,Violent_Crime_Rate_a,Violent_Crime_Rate_b,Violent_Crime_Rate_c,Years_of_Potential_Life_Lost_Rate_a,Years_of_Potential_Life_Lost_Rate_b,Years_of_Potential_Life_Lost_Rate_c
Bibb,-0.2947622740391266,0.29267531067226066,-0.2905562001929934,0.08114661983860427,-0.08106490501595927,0.08097812344951193,-0.4250054044056998,0.4252233830124038,-0.42544081394598493,0.45537268898386757,-0.456616910578856,0.4578617635303234,-1.4522571069472205,1.4519499018373379,-1.451656545412426,0.10231810200120944,-0.10222844374602778,0.10213804256884901,0.06896886403667872,-0.06892807809508243,0.06888633526767551,-1.1840490245702522,1.1826806236493783,-1.181310355463409,-1.1750607825615484,1.1750265772906188,-1.1749944927977252,0.38769822836680173,-0.38788780448539023,0.3880777507131602,-0.48682949777956286,0.4864957055509064,-0.48616372339554226,-0.03142653591209967,0.0313597134286438,-0.0312933013756045,0.3582921022828703,-0.35857000273152895,0.35884827786635487,-0.7473664440333332,0.747049761200731,-0.7467285419656822,0.2133969562612093,-0.21296475808055343,0.21254435446889913,0.29961195692791615,-0.2993247775204502,0.2990433791428871
Bleckley,0.5607321269840705,-0.5624148583403158,0.5641031547626011,-0.10123877223760533,0.10118037708271319,-0.10112171324070508,-0.06676606227460556,0.06659819419791532,-0.06643100228353853,-1.2549194631984686,1.2575321831641704,-1.2601299781953899,-0.5641025184903798,0.5637082865550062,-0.5633308494254907,3.2129263323618678,-3.2159294345466254,3.218923681510489,2.9276853298182375,-2.9306779593397554,2.933662643276623,1.4781162025020698,-1.477791820528213,1.47747034477299,1.3288196789441709,-1.3301405065557106,1.3314789268881229,0.42427654725737574,-0.42337318411223945,0.4224685900731807,-0.5250668230831694,0.5248626952960936,-0.5246570138950482,-0.28763996232511324,0.2879974779758244,-0.28835851112216193,-0.6642935382459557,0.6647637872044965,-0.6652344033742601,0.7291592669030645,-0.7309789516657859,0.7327762944468132,0.5433819848232156,-0.5444241180928691,0.5454659896541203,-0.563107676715245,0.5640192703264518,-0.5649286471248722
Brantley,0.06675876566368556,-0.06686698587003709,0.06697779772502441,-1.5938284718582674,1.593469175304251,-1.5931079101951808,-0.42152510017061023,0.4209010235386102,-0.42027058459944516,-0.5876154001489172,0.5887998245453262,-0.5899812688625513,0.7177428950566728,-0.7178026624586589,0.7178749568208643,0.5248817972957328,-0.5246286428321333,0.5243821366587632,0.29351062886894214,-0.29336165994777064,0.2932188779155889,-0.6253147840624441,0.6257395860016679,-0.626160425564358,-0.4265096750522931,0.42684629284218,-0.427181491809221,0.8395813747254868,-0.8396017538114844,0.8396296190108388,-1.131230925412061,1.131268454504311,-1.1312969312608305,-1.9802286285560275,1.979471264155229,-1.978704030729581,-0.5925735293173051,0.5919103736653362,-0.5912444407824681,-2.76741239934244,2.764687875430995,-2.761958188926382,0.3474551999440272,-0.3472791193908873,0.34709622396988404,0.4610131747843159,-0.4611580900836524,0.4613072214215595
Brooks,0.3142792572009615,-0.3144402033872894,0.3146398871622805,-0.8519074951622803,0.8517376260593067,-0.8515719112241565,-0.361288081350181,0.3612920102863585,-0.3612940724058088,-0.46204573163467305,0.461492731637314,-0.4609436339135566,-2.6728152963599694,2.6731274937279736,-2.6734303046942345,-0.5298014315216505,0.5298820125293122,-0.529964157425804,-0.5632828353368112,0.5632153180318877,-0.563148944509214,-1.5137334802325242,1.5135572289567074,-1.5133619892638885,-1.0547271491137504,1.0545245056173909,-1.054311937508898,0.009865618161679315,-0.010112931130295592,0.01035828562609865,1.1158820738841413,-1.1146377296661192,1.1133914359640782,-0.28763996232511324,0.2879974779758244,-0.28835851112216193,0.11134655509715584,-0.11187567520140389,0.11240616104714908,-1.019856329267456,1.0207196251684123,-1.0215749785114425,1.7972305202892473,-1.7960009381436932,1.7947851224172846,-0.1924558033269342,0.19230090502879782,-0.1921445375285415
Bryan,1.5766951427971339,-1.5756513228356985,1.574564480035971,-0.645242371404685,0.6457039375887219,-0.6461570015401601,0.39407880600543066,-0.3936592050692999,0.39323200580766093,-0.5279879114695833,0.5271631160175548,-0.5263454610476812,0.9978237684580519,-0.9986112785521519,0.9993772475797096,-0.24535590261373053,0.24509287574239677,-0.24483061332448358,-0.25877177043556376,0.2584175155124873,-0.2580639105738844,-0.1797342360715223,0.18019345532888026,-0.18066554064816606,0.1689272322121286,-0.167883185563529,0.16682298335098422,0.10405966193791787,-0.10464359883728053,0.10522222705319723,-0.2951852117732333,0.2952332138150366,-0.2952812405037283,-0.27710739079339397,0.27624821967159713,-0.27538533610121096,-0.06601936559688436,0.06693696909234743,-0.06785708273538081,-0.15306575215887278,0.1521073064631107,-0.15116916748209222,0.4215019404461029,-0.4226553157786311,0.42380237518792296,0.17070928710501818,-0.17033627957871594,0.16996020701211761
Bulloch,-0.2881754261893407,0.288908535081604,-0.2896556106005607,0.5521462713175003,-0.5514813120451382,0.5508201136529509,-0.5884700553128581,0.5891323086451015,-0.5897937105643024,0.12371056436216141,-0.12427364514172641,0.12483536190609715,1.1130842871994133,-1.111816322415566,1.110554392884857,-0.2290826325131179,0.2295940932612407,-0.23010661211468017,-0.3286085070914208,0.3289969199973745,-0.32938636918714215,-0.4711470571513438,0.4706855419220846,-0.47022605929860256,-0.2968664748183246,0.29621824538549973,-0.29557989000008056,-0.04764250815093595,0.048161938345347634,-0.04869165096216613,-0.3127302969119128,0.3125178082004899,-0.31230786222021256,,,,-0.019800207977580954,0.01867942930185703,-0.0175554065825174,0.04611486224259176,-0.04823179971564084,0.05031871405260831,2.088748155887055,-2.088217131791432,2.087678625553947,0.12946506213668182,-0.129011414312727,0.128553713290134
Burke,1.2765106243931756,-1.2719544689817142,1.2674634891955734,0.3902448939523071,-0.3905086875559388,0.3907671470699298,-0.6880199433038117,0.6865311445707749,-0.685040724227795,-0.8988304460317035,0.8990478677154338,-0.8992529886831413,-0.7840819613307567,0.7844317305655286,-0.7847918160291915,-1.2529686929707056,1.2514872503018342,-1.2500035899500899,-1.621874578552917,1.62037909531301,-1.6188808584612935,0.5374698158527775,-0.5380073591610767,0.5385504755059385,1.0440864620880785,-1.0432201273317998,1.0423534061873456,-0.14143459469875547,0.14130797149243188,-0.1411709053252017,0.27843069373748697,-0.27839087687339664,0.278357161333325,-0.28763996232511324,0.2879974779758244,-0.28835851112216193,0.12592074036450607,-0.12638365289940448,0.12684770408147,-0.020446895841547807,0.022081792470499635,-0.023706779340874135,-0.10298324411867141,0.10470766497926867,-0.10641060352448067,0.25943808349996933,-0.2598254612852326,0.2602184727866171
Butts,0.14026058532213131,-0.14234985175500398,0.14442848739744213,1.7929615826303618,-1.7920890901418676,1.7912198513830526,-0.6928401289779106,0.6915077774604851,-0.6901739959253197,0.6445103034794615,-0.6442936660505966,0.6440740970033172,-0.3525771612340552,0.3522233967169421,-0.3518766618932785,0.21523524423125645,-0.21496325005039316,0.21469557896442693,0.30744137348307493,-0.30718611929381107,0.30693584088900844,0.7446308767726914,-0.7445397607938986,0.7444645304607839,0.2923224832766345,-0.2917287730126109,0.2911479991875387,-0.24002958907408514,0.23959093315967908,-0.23914054591028358,0.31884987564113354,-0.31822152866530545,0.3175928762393424,-0.18175739097178872,0.1820393687550345,-0.18231441382992566,-0.045287259725700635,0.04585945549206905,-0.046433154062195864,-0.04134955130871412,0.04297337000788211,-0.044586128299421574,0.1754506726062644,-0.17605405423532608,0.17665524543667996,-0.3734517831760752,0.37391758813315495,-0.3743791884172545
Calhoun,0.24759131062466205,-0.24866865606208483,0.24979744883842833,-1.012220575525373,1.0121811951873179,-1.0121480470098312,-0.43980525208322874,0.4403160222749027,-0.4408155567839876,-0.19143508395813896,0.19198461928416924,-0.1925348269255222,-2.0459556757720962,2.046474173460414,-2.0469846891277554,-0.29799711343031954,0.2985415033057533,-0.2990905249134542,-0.2923734513804642,0.2928314594142378,-0.29329423812163913,1.9967988396151914,-1.9972335204398435,1.9976611473195283,2.576020740955141,-2.5761747792555036,2.576325266215915,0.649658670301179,-0.6506876224803155,0.6517080391218387,,,,-0.28763996232511324,0.2879974779758244,-0.28835851112216193,1.0000261527534597,-1.000204189436459,1.0003818062017429,0.8331660340090636,-0.8312873703226881,0.8294269548882132,-4.18963428606698,4.182308735051336,-4.174923497927526,-1.8282692943019851,1.827319105714345,-1.8263715665519487
Camden,-0.019965794584209762,0.019249078172787454,-0.018578197104780245,-0.13705922646952648,0.13818395235815292,-0.1392998042487485,-0.24507576148534102,0.24609919893450855,-0.24712513366147978,-0.4194546093009563,0.41943653264324754,-0.41942219812039666,1.7429348484910174,-1.7435542282783185,1.7441567535000402,0.3825252639306313,-0.3825149080048859,0.38250493562873644,0.37656685643467314,-0.37666070387017914,0.376754732661592,-1.0151272711264125,1.0154807969030346,-1.0158358073829983,-0.7491236865356264,0.7482335770122053,-0.7473491955611005,-0.08953663957499958,0.09009351935972318,-0.09065904421208501,-0.5167231093875053,0.5168634003728476,-0.5170056751656859,0.33588518959441177,-0.3363378699972711,0.3367950518455703,0.32921595201674153,-0.3288527405127548,0.3284880618324897,-0.16818063329602018,0.1683498755108704,-0.16852592469629943,0.2387870744901127,-0.23793927509139903,0.23709394134010336,-0.2232693737077531,0.22317643156399908,-0.22308831098884357
