County,Year,% Adults with Obesity,% Children in Poverty,% Excessive Drinking,% Smokers,% Unemployed,% Uninsured,ACSC Rate,Age-Adjusted Death Rate,Age-Adjusted Death Rate-All Opioids,Age-Adjusted Death Rate-Drug Overdoses,Age-adjusted Death Rate,Average Number of Mentally Unhealthy Days,Average Number of Physically Unhealthy Days,Child Mortality Rate,Child Mortality Rate (Asian),Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),Death Rate-All Opioids,Death Rate-Drug Overdoses,Drug Overdose Mortality Rate,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (White),ER Visit Rate-All Other Unintentional Injury,ER Visit Rate-Falls,Firearm Fatalities Rate,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (White),Homicide Rate,Homicide Rate (Asian),Homicide Rate (Black),Homicide Rate (Hispanic),Homicide Rate (White),Infant Mortality Rate,Infant Mortality Rate (Asian),Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),Injury Death Rate,Injury Death Rate (Asian),Injury Death Rate (Black),Injury Death Rate (Hispanic),Injury Death Rate (White),MV Mortality Rate,MV Mortality Rate (Asian),MV Mortality Rate (Black),MV Mortality Rate (Hispanic),MV Mortality Rate (White),Mammography Rate,Median Household Income,Motor Vehicle Mortality Rate,Percent of Deaths by Cause-All Opioids,Percent of Deaths by Cause-Drug Overdoses,Preventable Hospitalization Rate,Suicide Rate (Age-Adjusted),Suicide Rate (Asian),Suicide Rate (Black),Suicide Rate (Hispanic),Suicide Rate (White),Teen Birth Rate,Teen Birth Rate (Asian),Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),Violent Crime Rate,YPLL Rate,YPLL Rate (Asian),YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),Years of Potential Life Lost Rate
Atkinson,2018,,1.2263203156049927,0.012709201634179516,0.8364621172579981,-0.6334461415501941,1.552130796041236,,,-0.7584290507048772,,,,,,,,,,,,,,,,,1.264342115248297,0.8832894384884239,,,,,,,,,,,,,,,,1.6636550322852808,,,,,2.1415966132277706,,,,,,,,-0.8494184826002605,,-0.9246301178478367,,,,,,1.611312893848919,,,,,,,,,,,0.4294094542084037
Atkinson,2019,,0.6939651099924333,0.012709201634179516,0.8364621172579981,-0.8842955613792823,1.1987648238564685,,,,,,,,,,,,,,,,,,,,0.9039962042350105,0.22474259880160716,,,,,,,,,,,,,,,,1.6554696952859949,,,,,1.9197447833761838,,,,,,,,,,,,,,,,1.4556623831627902,,,,,,,,,,,0.7956874370200014
Atkinson,2020,-0.2381713864551141,1.2889503397947057,-0.12843796829893336,0.39705856691738395,-1.204906055951145,0.7510325100009134,,0.4967359387004655,,,,-0.3969782301331248,0.30592195141459577,,,,,,,,,,,,,-0.38532132430734023,-0.20448323531473778,,,,,,,,,,,,,,,,1.5215004585021432,,3.727207996748743,,0.8001141770650751,,,,,,,-0.9766672193981697,1.7622431952140283,,,1.313291910111212,,,,,,1.0723314338349192,,1.3309575915534337,1.0177946870691932,3.5775978149957024,,,,,,,0.6888039481906165
Atkinson,2021,-1.0390316677981424,0.7252801220872894,0.2408334310496254,1.357289643308412,-1.3676145793156,1.3736939403748958,,0.658269120768173,,,,0.4172620278299725,1.52580453714516,3.3614750708831407,,,,,,,,,,,,0.1615806514211821,-0.6513587756458413,2.030108421030675,,,,,2.7051580676193376,,,,,,,,,,1.7958347972859858,,3.806381138765948,,1.2023838360000494,,,,,,,-0.85308649221751,1.322580690790697,,,1.6075024796759825,,,,,,0.8788279450829712,,0.7764268388827991,0.9574710333098626,3.2717757221780728,,,,,,,1.5228217405829116
Atkinson,2022,0.44828028326748265,0.41213000113872517,0.33560473417987696,1.3309318883766,-1.08973343808791,1.105886659128711,,,,,0.3708327657229924,1.6103992176488615,2.2280710388640745,3.473521223803931,,,,,,,,,,,,0.12906558683376293,-0.33291301245191246,1.5209143881615497,,,,,2.6969158057480747,,,,,,,,,,1.1306327134853553,,,,,,,,,,,-0.7809405848956155,0.6433295609805451,,,1.1810758241934407,,,,,,0.43108852106236806,,0.5370040554203271,0.08207129666342623,2.849495061528313,,,,,,,1.0562637463382054
Atkinson,2023,1.0393914433063853,0.9236085320213807,0.21397588318653069,1.3309318883766,-1.4131726943237906,1.5962045974086732,,0.6246693888400773,,,,0.7580140930587203,0.6780772809345538,3.473521223803931,,,,,,,,,,,,,,1.5209143881615497,,,,,2.6969158057480747,,,,,,,,,,1.1306327134853553,,,,,,,,,,,-0.7349921458217853,0.6433295609805451,,,0.26866571776990134,,,,,,0.43108852106236806,,0.5370040554203271,0.08207129666342623,2.849495061528313,,,,,,,1.0562637463382054
Bacon,2011,,-0.005403493459360132,-1.155297598041966,,,0.6538812041259383,4.160222180216204,,,,,,,,,,,,,,,,,,,0.9973095023893612,1.7776663952575367,,,,,,1.0756793448157793,,,,,,,,,,,,,,,,,,,,-1.467674630648144,,,-0.8494184826002605,,,,,,,,1.8046953153094345,,,,,,2.6091827406364874,,,,,
Bacon,2012,,0.5895817363429119,-0.9171427803897892,,1.0513854528859892,1.1554113778004322,2.9861945890228547,,-0.7584290507048772,-1.1028373042829807,,,,,,,,,,-1.1361853814530738,,,,,,1.2571478927148545,1.5226844693039068,,,,,,,,,,,,,,,,,,,,,3.3504949291064814,,,,,-1.8097988560251241,,,-0.8494184826002605,-1.2826798674417446,,,,,,,2.0347531100933725,,,,,,2.3120430305245665,,,,,
Bacon,2013,,0.5687050616130073,-1.3041443590745763,-1.3606387727461258,0.9180007747452867,1.7572475862098247,3.777604754662959,,-0.7584290507048772,,,,,,,,,,-0.8270024107832152,,,,,,,0.8295853731293114,1.5489712657939718,,,,,,,,,,,,,,,,,,,,,2.9038436587552403,,,,,,,,-0.8494184826002605,,,,,,,,2.321626037931822,,,,,0.05961104130079527,0.628704091644958,,,,,
Bacon,2014,,0.41213000113872517,,,0.8960770500077898,1.8205932000737237,1.892178298185938,,,,,,,,,,,,,,,,,,,0.6658815446967736,2.0333993725394532,,,,,,,,,,,,,,,,2.243262208928198,,,,,2.9038436587552403,,,,,,,,,,,,,,,,2.1063068526828093,,,,,,0.628704091644958,,,,,
