County,Year,% Adults with Obesity,% Children in Poverty,% Excessive Drinking,% Smokers,% Unemployed,% Uninsured,ACSC Rate,Age-Adjusted Death Rate,Age-Adjusted Death Rate-All Opioids,Age-Adjusted Death Rate-Drug Overdoses,Average Number of Mentally Unhealthy Days,Average Number of Physically Unhealthy Days,Child Mortality Rate,Death Rate-All Opioids,Death Rate-Drug Overdoses,Drug Overdose Mortality Rate,ER Visit Rate-All Other Unintentional Injury,ER Visit Rate-Falls,Firearm Fatalities Rate,Homicide Rate,Infant Mortality Rate,Injury Death Rate,Injury Death Rate (Black),Injury Death Rate (White),MV Mortality Rate,Median Household Income,Motor Vehicle Mortality Rate,Percent of Deaths by Cause-All Opioids,Percent of Deaths by Cause-Drug Overdoses,Preventable Hospitalization Rate,Suicide Rate (Age-Adjusted),Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (White),Violent Crime Rate,YPLL Rate,YPLL Rate (Black),YPLL Rate (White),Years of Potential Life Lost Rate,Cluster
Chattooga,2014,36.04905660377358,31.4,14.380828813563689,28.9,10.768050628,22.550904699,73.602741512,478.1914783254852,7.962231320368475,14.82749546279492,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,3961.7,2474.0,16.920799542435546,7.209506117008523,7.889866512148114,91.6,67.20766840686468,95.93947376991798,28.734361876,51020.333333333336,20.878227117222163,0.7282527881040891,1.438938053097345,2410.3373730862204,17.03977233716966,80.187793427,37.113392784479764,29.92501036151794,180.88767317,9897.18,11879.087833174164,9454.111234510978,9290.782779311376,0
Chattooga,2015,36.04905660377358,41.2,14.380828813563689,28.9,9.5944136216,21.740432114,83.42316256817881,478.1914783254852,7.962231320368475,14.82749546279492,4.873584574814779,4.350794809712578,73.111990366,8.34330808080808,14.108257713248639,16.038530334514796,3583.2,2728.5,16.920799542435546,7.209506117008523,7.889866512148114,92.652645233,67.20766840686468,95.93947376991798,30.873386039,51020.333333333336,20.878227117222163,0.7282527881040891,1.438938053097345,73.68,17.03977233716966,77.677224736,37.113392784479764,29.92501036151794,163.38285588,9468.093949044585,11879.087833174164,9454.111234510978,9361.49,0
Chattooga,2016,36.04905660377358,28.2,14.6,19.3,7.8610952108,21.927346115,83.42316256817881,478.1914783254852,7.962231320368475,29.7,4.873584574814779,4.350794809712578,91.039146833,8.34330808080808,28.2,14.511490462,3496.6,2545.9,16.920799542435546,7.209506117008523,7.889866512148114,94.157562175,67.20766840686468,95.93947376991798,29.300546206,51020.333333333336,20.878227117222163,0.7282527881040891,2.2,65.94,17.03977233716966,72.703113136,37.113392784479764,29.92501036151794,163.38285588,9468.093949044585,11879.087833174164,9454.111234510978,9746.1,0
Chattooga,2017,36.04905660377358,28.8,15.70622736,19.701139418,6.1964783989,19.273657289,83.42316256817881,478.1914783254852,17.5,22.8,4.873584574814779,4.350794809712578,70.348223707,20.2,24.2,16.038530334514796,3794.9,2543.4,12.7,7.209506117008523,7.889866512148114,87.774790448,67.20766840686468,95.93947376991798,28.031776822,51020.333333333336,20.878227117222163,1.6,1.9,56.32,17.03977233716966,67.497603068,37.113392784479764,29.92501036151794,178.49531117,9468.093949044585,11879.087833174164,9454.111234510978,10035.7,0
Chattooga,2018,36.04905660377358,24.9,16.169446513,21.071866106,6.2039369344,17.93614304,83.42316256817881,478.1914783254852,7.962231320368475,36.6,4.873584574814779,4.350794809712578,88.849400267,8.34330808080808,40.3,17.406440383,3328.0,2476.8,11.947621627,7.209506117008523,7.889866512148114,93.191448689,67.20766840686468,95.93947376991798,28.20094868,51020.333333333336,20.878227117222163,0.7282527881040891,2.9,58.14,17.03977233716966,61.466640731,37.113392784479764,29.92501036151794,178.49531117,9468.093949044585,11879.087833174164,9454.111234510978,9480.5403504,0
Chattooga,2019,36.04905660377358,26.3,16.169446513,21.071866106,4.7404063205,17.231229991,83.42316256817881,478.1914783254852,7.962231320368475,14.82749546279492,4.873584574814779,4.350794809712578,71.505184126,8.34330808080808,14.108257713248639,21.471898653,3481.4,2327.6,16.1,7.209506117008523,7.889866512148114,93.905757145,67.20766840686468,95.93947376991798,27.264362071,51020.333333333336,20.878227117222163,0.7282527881040891,1.438938053097345,2410.3373730862204,17.03977233716966,58.846453624,37.113392784479764,29.92501036151794,136.2176229,9468.093949044585,11879.087833174164,9454.111234510978,10660.745396,0
Chattooga,2020,30.2,24.7,15.261448861,18.937689396,4.0907790598,16.638034255,83.42316256817881,619.87597921,7.962231320368475,37.9,4.175668504,3.8758197367,71.761750987,8.34330808080808,32.2,29.576252958,2439.3,2028.7,15.29236589,7.209506117008523,7.889866512148114,98.193086241,67.20766840686468,95.93947376991798,21.391142061579277,39513.0,26.840578386,0.7282527881040891,2.1,6840.0,14.543228193,55.762081784,40.094339623,56.286881525,136.2176229,9468.093949044585,17838.260985,12772.986284,12534.641897,1
Chattooga,2021,34.3,22.8,16.679335096,25.676546729,4.967497817,17.552857442,83.42316256817881,571.48413848,24.4,41.8,5.3032336147,5.2502755629,81.113965121,20.1,36.1,26.900160056,2446.7,1792.9,16.922519038,7.4638862733,7.889866512148114,98.311777267,67.20766840686468,95.93947376991798,21.391142061579277,41561.0,24.688239212,1.3,2.4,6543.0,14.453558584,56.025162178,41.343669251,57.032492615,136.2176229,9468.093949044585,15183.454469,11446.605319,11185.239117,1
Chattooga,2022,37.7,26.7,17.963821464,27.3,8.3956179,17.313729594,83.42316256817881,478.1914783254852,7.962231320368475,28.7,6.0860563964,5.5679033309,76.673281616,8.34330808080808,32.1,29.561151272,2494.4,1856.8,18.545994065,6.9014303214,7.889866512148114,110.46961682,77.627697562,122.74089108,21.391142061579277,44399.0,25.880363705,0.7282527881040891,1.9,5651.0,18.125219538,56.246299586,38.25136612,58.245774326,136.2176229,9468.093949044585,11879.087833174164,9454.111234510978,12857.306963,1
Chattooga,2023,38.7,28.6,16.653740916,26.5,4.7584187408,17.126515914,83.42316256817881,631.78399235,7.962231320368475,14.82749546279492,5.3851486529,4.3665339026,76.673281616,8.34330808080808,14.108257713248639,29.561151272,3727.5102496016993,2355.6575982996815,18.545994065,6.9014303214,7.889866512148114,110.46961682,77.627697562,122.74089108,21.391142061579277,42974.0,25.880363705,0.7282527881040891,1.438938053097345,4257.0,18.125219538,56.246299586,38.25136612,58.245774326,320.912799077097,9468.093949044585,11879.087833174164,9454.111234510978,12857.306963,0
Cherokee,2011,36.04905660377358,8.7,18.5,19.6,7.147057795418082,20.8,66.3657,478.1914783254852,7.962231320368475,10.4,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,11.0,16.038530334514796,3096.9,1943.8,16.920799542435546,2.1,7.889866512148114,75.98458018569293,67.20766840686468,95.93947376991798,21.391142061579277,51020.333333333336,20.878227117222163,1.2,2.0,2410.3373730862204,17.03977233716966,34.9,37.113392784479764,29.92501036151794,320.912799077097,5837.5,11879.087833174164,9454.111234510978,9290.782779311376,0
