,County,Pct_Children_in_Poverty_a,Pct_Children_in_Poverty_b,Pct_Children_in_Poverty_c,Pct_Excessive_Drinking_a,Pct_Excessive_Drinking_b,Pct_Excessive_Drinking_c,Pct_Smokers_a,Pct_Smokers_b,Pct_Smokers_c,Pct_Unemployed_a,Pct_Unemployed_b,Pct_Unemployed_c,Pct_Uninsured_a,Pct_Uninsured_b,Pct_Uninsured_c,ER_Visit_Rate-All_Other_Unintentional_Injury_a,ER_Visit_Rate-All_Other_Unintentional_Injury_b,ER_Visit_Rate-All_Other_Unintentional_Injury_c,ER_Visit_Rate-Falls_a,ER_Visit_Rate-Falls_b,ER_Visit_Rate-Falls_c,Injury_Death_Rate_a,Injury_Death_Rate_b,Injury_Death_Rate_c,Teen_Birth_Rate_a,Teen_Birth_Rate_b,Teen_Birth_Rate_c,Violent_Crime_Rate_a,Violent_Crime_Rate_b,Violent_Crime_Rate_c
108,Oglethorpe,0.5004304445729043,-0.5007581641714853,0.5010618962631367,1.1336272956913027,-1.133199663480628,1.132775209006069,1.7047395116894353,-1.7049280399072635,1.7051138162309272,-0.5628647892770691,0.561723276718772,-0.5605896064552095,1.806760258412166,-1.8077170335821469,1.808685985419913,-0.1192758012293504,0.1187250098471603,-0.1181783094478442,-0.6048009504992132,0.6042337627061444,-0.603674128680683,0.426555450187526,-0.4256771503065485,0.4247949824147758,-0.4851353084685009,0.4832691044938307,-0.4814194906370422,-0.469863636054013,0.4700912959340447,-0.4703156762014455
109,Paulding,0.6521873745358606,-0.6527574095323059,0.6532615076198282,-0.3256408394581246,0.3252930015038837,-0.3249388181402894,-0.0678910250684411,0.0685604286073411,-0.0692358795453862,0.7134296189029428,-0.7143215769803026,0.7152037474235052,-0.0935897754613337,0.0925838791281067,-0.0915998621703676,-0.2029784731683468,0.2040652937458272,-0.2051525792094995,-0.2185067312762042,0.2193603775161148,-0.2202197137300855,-0.0784070777255059,0.0788333811260858,-0.0792681722142119,0.5543881394516632,-0.5559465868083853,0.557475343113839,0.4748571307645063,-0.4748051465952702,0.4747430615984744
110,Peach,1.0742016132918557,-1.0744567477714817,1.0747373546054246,-1.1101123918977238,1.110269822703628,-1.110429284471354,-0.248423678535396,0.2488296490180029,-0.2492362962766387,-0.3883211332136378,0.3891231003565241,-0.3899193379026676,0.3406585309921908,-0.3411161481539632,0.3415769473840561,0.1485509839607677,-0.1480497526574513,0.1475494236443236,-0.9480785812410149,0.9483268069166996,-0.9485763904185898,0.6113012155525446,-0.6115960469954383,0.6118925038509136,1.3401135340361907,-1.3402129378947614,1.340298744730587,0.0461686499642625,-0.0451451359156513,0.044135571532312
111,Pickens,0.7614243564124406,-0.7604901781632571,0.7595310586788689,0.6085400552926241,-0.6100817770399417,0.6116303121355791,1.0013829384551332,-1.0006371489842192,0.999885749203359,0.0534294657993982,-0.0537559312519064,0.0540742404219517,-0.0008648229836049,5.123802521587508e-05,0.0007592486263358,-0.7259327044959951,0.7272577632360797,-0.7285712325306369,-1.3000587132621144,1.302054806755003,-1.3040288685604675,1.02704295076565,-1.026439422267147,1.0258366597038269,0.6369007538129808,-0.6373723756457124,0.6378414458004928,0.2664742786854697,-0.2671753223602424,0.2678696307303163
112,Pierce,0.4865889502230648,-0.4857200872356457,0.4848512864956462,0.4874988024766471,-0.4872257854611129,0.4869560523583867,1.200912809153572,-1.2021260400222886,1.2033380624341916,-0.5450142614433358,0.5453002911710267,-0.5455904146209604,-0.428047374644676,0.428230890150679,-0.4284101287478249,0.3298619976594631,-0.3300317262118775,0.3302142707167477,0.6314759318222928,-0.6319643892608362,0.6324640625550122,0.2760234580629069,-0.2756879117532309,0.2753541548328873,0.8737474019671693,-0.8729198772828347,0.87211218984309,0.0009865816367054,-0.0023866698309768,0.0037842317592859
113,Pike,0.8488597840074482,-0.8483479652712667,0.8477888214506981,-2.543248880290018,2.542848865255062,-2.5424405882230494,-0.4196605393669919,0.4192244545190891,-0.4187930009290688,-0.0269223308503419,0.0270288777567331,-0.0271417956734378,0.8015702939542236,-0.8013988632650877,0.8012173262849941,0.2829325917784617,-0.2825844289133377,0.2822316697234943,-0.0750668866039131,0.0759394036587738,-0.0768155391581314,0.2496107074702005,-0.2488450168803602,0.2480769454556497,0.3179450098466171,-0.3190633240501068,0.3201619165530361,-0.1527517597529941,0.1524694621050256,-0.1522007181527022
114,Polk,-0.3248491988072743,0.3248082200906138,-0.324778597830571,-1.000496009487652,1.0004804776948315,-1.0004632842307923,0.3795403897034943,-0.3795299201707855,0.3795195518342132,-0.2356254024335429,0.2353529389977168,-0.2350819843165657,-0.2809674833494322,0.2810029144345868,-0.2810296808888289,0.8109519508442371,-0.8092290866300259,0.8075282716449211,1.449658729144596,-1.4482176090592866,1.4468103155330625,-0.079267241473562,0.0785871572439407,-0.0778992756898474,0.7281810392510514,-0.7261693174987185,0.7241796579752291,-0.5569490155970809,0.5556868116479842,-0.5544119691400807
115,Pulaski,-0.961878590631706,0.959430059456964,-0.9569923686553736,0.1623192156622298,-0.16276520022353,0.1632069104450789,-0.0624103142157383,0.0614291176072672,-0.0604483191105316,-1.3215034196673652,1.3221982549599909,-1.322892192463196,-0.9347337569520252,0.9354622806399198,-0.9361938284018396,0.7441750313219267,-0.7447509360850005,0.7453227328324077,0.1280885771051205,-0.1296289069697781,0.1311735461531581,0.2043652276257677,-0.2044476839388581,0.204524936226772,0.7635416539816978,-0.7643846742953063,0.7652270362713033,-2.7116665813705625,2.71017439447571,-2.70866461648835
116,Putnam,-0.4615267020126694,0.4615968018847577,-0.4616681893278664,0.2053973669825447,-0.2059058542491751,0.2064138042702564,0.5926922375211566,-0.5931362823515192,0.5935761603142595,-0.60944817910203,0.6101299402694081,-0.6108062235314933,-0.2379379467591555,0.2378829310119221,-0.2378218504871455,-0.5614327674716771,0.5630912536029189,-0.5647444328797578,-0.6102783435351996,0.6109850166351516,-0.6116758727766198,0.467352957021266,-0.467001237590855,0.4666517693571025,-0.149815356488428,0.1500823723280456,-0.1503507982558845,-1.0227657218899808,1.0237115810365642,-1.0246480902909822
117,Quitman,-1.2046355598120089,1.2037627466099028,-1.2028532786997146,1.6813330651859282,-1.682628712760053,1.6839140810305546,-0.0360914253081105,0.0353597389559439,-0.0346257403838547,0.7518827283998641,-0.7519795648973536,0.7520801731407514,0.7510183791705436,-0.7521603473005035,0.7533147732662747,0.4395894811133975,-0.4410109188987938,0.4424014825419722,0.6903711344227189,-0.6910849279459623,0.691758751481688,-3.965409976443656,3.9651018702007033,-3.964783737360521,0.342744046458243,-0.3419056297895455,0.3410888553328636,0.1789862112425777,-0.1744506838547884,0.1699149434605686
